Program Kodu,Kurum Adı,Ünvanı,Kadro Detayları,İl,Kontenjan,Boş Kontenjan,Min Puan,Max Puan
301018641,Sivil Havacılık Genel Müdürlüğü ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği,Ankara,1,,100.000,100.000
301016436,Devlet Hava Meydanları İşletmesi Genel Müdürlüğü ,Memur,4001Herhangi bir lisans programından mezun olmak.7322(Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).,Amasya,1,,97.857,97.857
301016072,Darphane ve Damga Matbaası Genel Müdürlüğü ,Mühendis,4531Aşağıdaki lisans programlarından birinden mezun olmak.3124 - Bilgisayar Mühendisliği5103 - Bilişim Sistemleri Mühendisliği5137 - Bilgisayar Bilimi ve Mühendisliği / Bilgisayar Bilimleri Mühendisliği8141 - Kontrol ve Bilgisayar Mühendisliği8156 - Bilgisayar ve Enformatik Mühendisliği4533Aşağıdaki lisans programlarından birinden mezun olmak.5134 - Yazılım Mühendisliği9343 - Bilgisayar ve Yazılım Mühendisliği,İstanbul,1,,97.647,97.647
301020048,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,İstanbul,1,,96.986,96.986
301020062,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Sakarya,1,,96.296,96.296
301016457,Devlet Hava Meydanları İşletmesi Genel Müdürlüğü ,Memur,4001Herhangi bir lisans programından mezun olmak.7322(Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).,Malatya,1,,96.109,96.109
301016429,Devlet Hava Meydanları İşletmesi Genel Müdürlüğü ,Memur,4001Herhangi bir lisans programından mezun olmak.7322(Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).,Ağrı,1,,95.675,95.675
301020027,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Antalya,1,,95.650,95.650
301020972,Ulaştırma ve Altyapı Bakanlığı ,Mimar,4747Aşağıdaki lisans programlarından birinden mezun olmak.3263 - Mimarlık,Ankara,1,,95.446,95.446
301018634,Sivil Havacılık Genel Müdürlüğü ,Mühendis,4611Aşağıdaki lisans programlarından birinden mezun olmak.3160 - Elektrik Mühendisliği3162 - Elektrik ve Elektronik Mühendisliği / Elektrik-Elektronik Mühendisliği,Ankara,1,,95.421,95.421
301016870,Elektrik Üretim A.Ş. Genel Müdürlüğü ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği,İstanbul,1,,95.253,95.253
301020643,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Mühendis,4689Aşağıdaki lisans programlarından birinden mezun olmak.3233 - Jeodezi ve Fotogrametri Mühendisliği8324 - Harita Mühendisliği9034 - Geomatik Mühendisliği9572 - Jeodezi ve Haritacılık Mühendisliği7247Tehlikeli Ve Çok Tehlikeli İşlerde Çalışmasına Engel Bir Durumu Bulunmamak7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Trabzon,1,,95.232,95.232
301017227,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Adıyaman,1,,95.109,95.109
301020818,Türkiye İstatistik Kurumu Başkanlığı ,Mimar,4747Aşağıdaki lisans programlarından birinden mezun olmak.3263 - Mimarlık7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Ankara,1,,94.804,94.804
301016443,Devlet Hava Meydanları İşletmesi Genel Müdürlüğü ,Memur,4001Herhangi bir lisans programından mezun olmak.7322(Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).,Hakkari,1,,94.800,94.800
301019831,Türkiye Elektrik Dağıtım A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Samsun,1,,94.739,94.739
301017374,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Giresun,1,,94.627,94.627
301017808,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Denizli,1,,94.607,94.607
301020055,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,İzmir,1,,94.568,94.568
301016856,Elektrik Üretim A.Ş. Genel Müdürlüğü ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği,Elazığ,1,,94.503,94.503
301015694,Afet ve Acil Durum Yönetimi Başkanlığı ,Mühendis,4611Aşağıdaki lisans programlarından birinden mezun olmak.3160 - Elektrik Mühendisliği3162 - Elektrik ve Elektronik Mühendisliği / Elektrik-Elektronik Mühendisliği7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Hatay,1,,94.323,94.323
301017752,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Balıkesir,1,,94.315,94.315
301017402,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Isparta,1,,94.215,94.215
301015862,Ankara Yıldırım Beyazıt Üniversitesi ,Mimar,4747Aşağıdaki lisans programlarından birinden mezun olmak.3263 - Mimarlık,Ankara,1,,94.213,94.213
301020979,Ulaştırma ve Altyapı Bakanlığı ,Mimar,4747Aşağıdaki lisans programlarından birinden mezun olmak.3263 - Mimarlık,İstanbul,1,,94.135,94.135
301019257,T.C.Devlet Demiryolları İşletmesi Genel Müdürlüğü ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7300Bu kadro/pozisyonda vardiya sistemi uygulanmaktadır.7327(Bakınız Başvurma Özel Şartları Bölümü TCDD Genel Müdürlüğü).,Sivas,1,,94.093,94.093
301021182,Yükseköğretim Kurulu Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Ankara,1,,94.090,94.090
301020293,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği7247Tehlikeli Ve Çok Tehlikeli İşlerde Çalışmasına Engel Bir Durumu Bulunmamak7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Ankara,1,,94.008,94.008
301020020,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Ankara,3,,93.925,94.756
301020013,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Adana,1,,93.887,93.887
301017976,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Muğla,1,,93.881,93.881
301016534,Devlet Su İşleri Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Erzurum,1,,93.877,93.877
301017668,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Afyonkarahisar,1,,93.841,93.841
301019824,Türkiye Elektrik Dağıtım A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Konya,1,,93.815,93.815
301016590,Elektrik Üretim A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Muğla,1,,93.781,93.781
301021154,Ulaştırma ve Altyapı Bakanlığı ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği,Samsun,1,,93.779,93.779
301019775,Türkiye Elektrik Dağıtım A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Bursa,1,,93.760,93.760
301020664,Türkiye İlaç ve Tıbbi Cihaz Kurumu ,Diyetisyen,4797Aşağıdaki lisans programlarından birinden mezun olmak.3122 - Beslenme ve Diyetetik,Ankara,2,,93.675,93.966
301017696,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Ankara,5,,93.549,94.218
301017913,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Karaman,1,,93.508,93.508
301015841,Ankara Yıldırım Beyazıt Üniversitesi ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Ankara,1,,93.504,93.504
301017801,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Çorum,1,,93.487,93.487
301017787,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Çanakkale,1,,93.402,93.402
301015652,Afet ve Acil Durum Yönetimi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Ankara,1,,93.385,93.385
301017486,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Nevşehir,1,,93.377,93.377
301018410,Milli Piyango İdaresi Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Ankara,2,,93.281,93.821
301017703,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Antalya,1,,93.254,93.254
301021098,Ulaştırma ve Altyapı Bakanlığı ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği,Bolu,1,,93.245,93.245
301017500,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Ordu,1,,93.201,93.201
